"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Navigate","Open Type Hierarchy","F4","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.type.hierarchy"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToPreviousUnread"
"Run/Debug","Coverage JUnit Test","⌥⇧E T","In Windows","org.eclipse.eclemma.ui.junitShortcut.coverage"
"Edit","Select Enclosing JET Element","⌥⇧⇞","Editing JET Source","org.eclipse.emf.codegen.ui.jet.select.enclosing"
"Navigate","Forward History","⌥⌘→","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Database Tools","Execute Selected Text","⌥X","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction"
"Refactor - Java","Make Static","⌥⌘K","In Windows","org.eclipse.jdt.ui.edit.text.java.make.static"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows","org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggleMarkOccurrences"
"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows","org.eclipse.mylyn.context.ui.commands.interest.decrement"
"Navigate","Activate Task","⌘F9","In Windows","org.eclipse.mylyn.tasks.ui.command.activateTask"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"Run/Debug","Skip All Breakpoints","⌃⌥B","In Windows","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Views","Show View (Search)","⌥⌘Q S","In Windows","org.eclipse.ui.views.showView"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.document"
"Text Editing","Zoom In","⌘+","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows","org.eclipse.ui.views.showView"
"Views","Show View","⌥⌘Q D","In Windows","org.eclipse.ui.views.showView"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.search.find.occurrences"
"Quick Search","Quick Search","⌥⇧⌘L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Edit","Delete","⌦","In Windows","org.eclipse.ui.edit.delete"
"Edit","Undo","⌘Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Source","Toggle Comment","⌘7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Navigate","Quick Outline","⌘O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.show.outline"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source","org.eclipse.jst.jsp.ui.add.imports"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows","org.eclipse.ant.ui.antShortcut.run"
"Navigate","Open Task","⌥⌘F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openTask"
"Source","Format","⇧⌘F","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.format"
"Text Editing","Delete Next Word","⌥⌦","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Window","Show View Menu","⌘F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
